Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-11,0.0007408834347616502,0.0007397708083115851,0.0007435773641326128,0.0007408834347616502,inf,inf,inf
2024-10-14,0.000741658223574646,0.0007350779050674523,0.000741658223574646,0.000741658223574646,inf,inf,inf
2024-10-15,0.0007367730706564655,0.0007325094807310752,0.0007371695425157494,0.0007367730706564655,inf,inf,inf
2024-10-16,0.000733578808813799,0.0007315877570860731,0.000735797302214281,0.000733578808813799,inf,inf,inf
2024-10-17,0.0007330303736933724,0.0007283374293422896,0.0007334442990149983,0.0007330303736933724,inf,inf,inf
2024-10-18,0.0007299003425862814,0.0007283904677943738,0.0007313148911405825,0.0007299003425862814,inf,inf,inf
2024-10-21,0.0007304548490271451,0.0007240290590901221,0.0007320269380909127,0.0007304548490271451,inf,inf,inf
2024-10-22,0.000726480203414457,0.0007232331133410995,0.0007265066188193948,0.000726480203414457,inf,inf,inf
2024-10-23,0.000726411596763886,0.0007217298115643811,0.0007263799712072627,0.000726411596763886,inf,inf,inf
2024-10-24,0.000726037162077427,0.0007235314197846806,0.0007262164124909223,0.000726037162077427,inf,inf,inf
2024-10-25,0.0007265752434208886,0.0007191709447915151,0.0007265541069508576,0.0007265752434208886,inf,inf,inf
2024-10-28,0.0007206376024161768,0.0007200927682011534,0.00072351569985792,0.0007206376024161768,inf,inf,inf
2024-10-29,0.0007236047245594023,0.0007197610519827914,0.0007264485074640101,0.0007236047245594023,inf,inf,inf
2024-10-30,0.0007229716748134831,0.0007223241272570755,0.000728119981231712,0.0007229716748134831,inf,inf,inf
2024-10-31,0.0007253893809972244,0.0007239085192421193,0.0007288789269108471,0.0007253893809972244,inf,inf,inf
2024-11-01,0.0007283692255822264,0.0007245169385904679,0.0007285868226108098,0.0007283692255822264,inf,inf,inf
2024-11-04,0.0007249844308000503,0.0007267336127425358,0.0007311117128344555,0.0007249844308000503,inf,inf,inf
2024-11-05,0.0007284064002666081,0.0007243385260471409,0.0007285231301202606,0.0007284064002666081,inf,inf,inf
2024-11-06,0.000725689404934688,0.000712265946471197,0.000743074539846193,0.000725689404934688,inf,inf,inf
2024-11-07,0.0007143877447619559,0.0007122354786818845,0.0007241024647415489,0.0007143877447619559,inf,inf,inf
2024-11-08,0.0007288205002829606,0.0007156300790014724,0.0007288205002829606,0.0007288205002829606,inf,inf,inf
2024-11-11,0.0007157171735951385,0.0007132667617689016,0.0007184269046666265,0.0007157171735951385,inf,inf,inf
2024-11-12,0.000714005187345304,0.0007094462526047815,0.0007150211346701109,0.000714005187345304,inf,inf,inf
2024-11-13,0.0007109088846861878,0.0007089483263903937,0.0007186954064116369,0.0007109088846861878,inf,inf,inf
2024-11-14,0.0007147962830593281,0.0007085816223405268,0.0007214174231994704,0.0007147962830593281,inf,inf,inf
2024-11-15,0.000713862518200575,0.0007100356413276453,0.0007198180350619569,0.000713862518200575,inf,inf,inf
2024-11-18,0.0007171800606083687,0.0007141174090265242,0.0007198076623314774,0.0007171800606083687,inf,inf,inf
2024-11-19,0.0007196833393306944,0.000715742749544295,0.0007203313524221142,0.0007196833393306944,inf,inf,inf
2024-11-20,0.0007183082227965531,0.000713821712745142,0.0007204610951008645,0.0007183082227965531,inf,inf,inf
2024-11-21,0.0007155020703006987,0.0007132006279856897,0.000717447631008416,0.0007155020703006987,inf,inf,inf
2024-11-22,0.0007144898667073451,0.000710131474878579,0.0007151540907390164,0.0007144898667073451,inf,inf,inf
2024-11-25,0.0007124993716054736,0.000712083364517404,0.0007167996505601704,0.0007124993716054736,inf,inf,inf
2024-11-26,0.0007165581974362752,0.0007104442678933393,0.0007176278195712664,0.0007165581974362752,inf,inf,inf
2024-11-27,0.0007167071505886413,0.000715077432096886,0.0007197506808945116,0.0007167071505886413,inf,inf,inf
2024-11-28,0.0007202172327094675,0.0007155276933761194,0.0007202172327094675,0.0007202172327094675,inf,inf,inf
2024-11-29,0.0007177204944771794,0.0007150518412584912,0.000719605643458067,0.0007177204944771794,inf,inf,inf
2024-12-02,0.000714357157475902,0.0007107067732472342,0.0007153331914076887,0.000714357157475902,inf,inf,inf
2024-12-03,0.0007137452772750544,0.0006933803170725266,0.0007272515502034386,0.0007137452772750544,inf,inf,inf
2024-12-04,0.0007083808318303732,0.0007050793773749737,0.0007124993716054736,0.0007083808318303732,inf,inf,inf
2024-12-05,0.0007088176675572457,0.0007046868990602254,0.0007087523561992774,0.0007088176675572457,inf,inf,inf
2024-12-06,0.0007142908213455069,0.0007002948384885189,0.0007085364544687054,0.0007142908213455069,inf,inf,inf
2024-12-09,0.0007021387289677652,0.0006952942532470123,0.0007021189903131234,0.0007021387289677652,inf,inf,inf
2024-12-10,0.0007009673469181695,0.0006977539087037731,0.0007016115826205878,0.0007009673469181695,inf,inf,inf
2024-12-11,0.0006973744091854561,0.0006964031017821356,0.0007049104083136748,0.0006973744091854561,inf,inf,inf
2024-12-12,0.0006997166028178114,0.0006970632890410538,0.0007003732702267835,0.0006997166028178114,inf,inf,inf
2024-12-13,0.0007003487808741861,0.0006963788300835655,0.0006999076074112971,0.0007003487808741861,inf,inf,inf
2024-12-16,0.0006971313284113184,0.0006949946556166588,0.0006978513300661307,0.0006971313284113184,inf,inf,inf
2024-12-17,0.0006986411548934005,0.0006946856547412296,0.0006973646732013959,0.0006986411548934005,inf,inf,inf
2024-12-18,0.0006961751920791715,0.0006951009215772241,0.0006974521880859637,0.0006961751920791715,inf,inf,inf
